ts,action,ticker,side,type,price,count,tif,client_order_id,result
2025-12-16T15:05:45.255817Z,place,KXNCAAMBGAME-25DEC16FSUDAY-DAY,no,limit,,14,,4c6594e1-8af9-4614-8e7a-e6a5516b6b89,"{""dry_run"": true, ""echo"": {""path"": ""portfolio/orders"", ""params"": null, ""body"": {""ticker"": ""KXNCAAMBGAME-25DEC16FSUDAY-DAY"", ""side"": ""no"", ""action"": ""buy"", ""type"": ""limit"", ""count"": 14, ""client_order_id"": ""4c6594e1-8af9-4614-8e7a-e6a5516b6b89"", ""expiration_ts"": 1765929600, ""no_price"": 26}}}"
2025-12-16T15:05:45.256677Z,place,KXNCAAMBGAME-25DEC16BELEVAN-EVAN,yes,limit,,36,,4de7e068-4b03-44f8-a28c-69003bd6c0df,"{""dry_run"": true, ""echo"": {""path"": ""portfolio/orders"", ""params"": null, ""body"": {""ticker"": ""KXNCAAMBGAME-25DEC16BELEVAN-EVAN"", ""side"": ""yes"", ""action"": ""buy"", ""type"": ""limit"", ""count"": 36, ""client_order_id"": ""4de7e068-4b03-44f8-a28c-69003bd6c0df"", ""expiration_ts"": 1765929600, ""yes_price"": 18}}}"
2025-12-16T15:05:45.256980Z,place,KXNCAAMBGAME-25DEC16UTRGVLAM-UTRGV,no,limit,,25,,6b456f7d-0b7c-40a0-a85b-656de3d9b120,"{""dry_run"": true, ""echo"": {""path"": ""portfolio/orders"", ""params"": null, ""body"": {""ticker"": ""KXNCAAMBGAME-25DEC16UTRGVLAM-UTRGV"", ""side"": ""no"", ""action"": ""buy"", ""type"": ""limit"", ""count"": 25, ""client_order_id"": ""6b456f7d-0b7c-40a0-a85b-656de3d9b120"", ""expiration_ts"": 1765929600, ""no_price"": 59}}}"
2025-12-16T15:05:45.257226Z,place,KXNCAAMBGAME-25DEC16SCUSSCST-SCST,no,limit,,22,,4332952a-d61f-46b6-8f70-35fab8b05a7d,"{""dry_run"": true, ""echo"": {""path"": ""portfolio/orders"", ""params"": null, ""body"": {""ticker"": ""KXNCAAMBGAME-25DEC16SCUSSCST-SCST"", ""side"": ""no"", ""action"": ""buy"", ""type"": ""limit"", ""count"": 22, ""client_order_id"": ""4332952a-d61f-46b6-8f70-35fab8b05a7d"", ""expiration_ts"": 1765926000, ""no_price"": 82}}}"
2025-12-16T15:05:45.257456Z,place,KXNCAAMBGAME-25DEC16LOUTENN-LOU,no,limit,,17,,271c7cba-7039-4c89-8e4c-997794bf2ffd,"{""dry_run"": true, ""echo"": {""path"": ""portfolio/orders"", ""params"": null, ""body"": {""ticker"": ""KXNCAAMBGAME-25DEC16LOUTENN-LOU"", ""side"": ""no"", ""action"": ""buy"", ""type"": ""limit"", ""count"": 17, ""client_order_id"": ""271c7cba-7039-4c89-8e4c-997794bf2ffd"", ""expiration_ts"": 1765929600, ""no_price"": 54}}}"
2025-12-16T15:05:45.257662Z,place,KXNCAAMBGAME-25DEC16MTSTCP-MTST,yes,limit,,35,,f32177ac-a6db-49a5-980d-c4b7a6f3ea25,"{""dry_run"": true, ""echo"": {""path"": ""portfolio/orders"", ""params"": null, ""body"": {""ticker"": ""KXNCAAMBGAME-25DEC16MTSTCP-MTST"", ""side"": ""yes"", ""action"": ""buy"", ""type"": ""limit"", ""count"": 35, ""client_order_id"": ""f32177ac-a6db-49a5-980d-c4b7a6f3ea25"", ""expiration_ts"": 1765940400, ""yes_price"": 54}}}"
2025-12-16T15:05:45.257861Z,place,KXNCAAMBGAME-25DEC16HOWDREX-DREX,yes,limit,,15,,7d9605f0-c8b0-4c27-a276-b58ab576ca0b,"{""dry_run"": true, ""echo"": {""path"": ""portfolio/orders"", ""params"": null, ""body"": {""ticker"": ""KXNCAAMBGAME-25DEC16HOWDREX-DREX"", ""side"": ""yes"", ""action"": ""buy"", ""type"": ""limit"", ""count"": 15, ""client_order_id"": ""7d9605f0-c8b0-4c27-a276-b58ab576ca0b"", ""expiration_ts"": 1765900800, ""yes_price"": 68}}}"
2025-12-16T15:05:45.258045Z,place,KXNCAAMBGAME-25DEC16MRSTGT-MRST,yes,limit,,14,,74270595-21bd-44a2-94f6-99adfc100db9,"{""dry_run"": true, ""echo"": {""path"": ""portfolio/orders"", ""params"": null, ""body"": {""ticker"": ""KXNCAAMBGAME-25DEC16MRSTGT-MRST"", ""side"": ""yes"", ""action"": ""buy"", ""type"": ""limit"", ""count"": 14, ""client_order_id"": ""74270595-21bd-44a2-94f6-99adfc100db9"", ""expiration_ts"": 1765931400, ""yes_price"": 28}}}"
2025-12-16T15:05:45.258226Z,place,KXNCAAMBGAME-25DEC16ORUMOSU-ORU,yes,limit,,21,,89433886-b734-4af7-bd9a-45554e9ad139,"{""dry_run"": true, ""echo"": {""path"": ""portfolio/orders"", ""params"": null, ""body"": {""ticker"": ""KXNCAAMBGAME-25DEC16ORUMOSU-ORU"", ""side"": ""yes"", ""action"": ""buy"", ""type"": ""limit"", ""count"": 21, ""client_order_id"": ""89433886-b734-4af7-bd9a-45554e9ad139"", ""expiration_ts"": 1765933200, ""yes_price"": 32}}}"
2025-12-16T15:05:45.260397Z,place,KXNCAAMBGAME-25DEC16UALRMORE-UALR,yes,limit,,18,,49081490-9ce4-477f-959d-792d0f95cc87,"{""dry_run"": true, ""echo"": {""path"": ""portfolio/orders"", ""params"": null, ""body"": {""ticker"": ""KXNCAAMBGAME-25DEC16UALRMORE-UALR"", ""side"": ""yes"", ""action"": ""buy"", ""type"": ""limit"", ""count"": 18, ""client_order_id"": ""49081490-9ce4-477f-959d-792d0f95cc87"", ""expiration_ts"": 1765931400, ""yes_price"": 40}}}"
